"","State","County","Flyway","Flock.Type","Species","Avian.Infuenza.Subtype","Confirmation.Date","Flock.Size","STATEFP","COUNTYFP","POPULATION","LATITUDE","LONGITUDE"
"1","Oregon","Douglas","Pacific","Backyard","Mixed Poultry","EA -H5N8",2014-12-19,"130",41,19,107667,43.237447,-123.386761
"2","Washington","Benton","Pacific","Backyard","Mixed Poultry","EA/AM-H5N2",2015-01-03,"140",53,5,175177,46.229004,-119.276099
"3","Washington","Benton","Pacific","Backyard","Mixed Poultry","EA/AM-H5N2",2015-01-09,"590",53,5,175177,46.229004,-119.276099
"4","Washington","Clallam","Pacific","Backyard","Mixed Poultry","EA/AM-H5N2",2015-01-16,"110",53,9,71404,48.094258,-123.451968
"5","Nebraska","Dixon","Central","Backyard","Mixed Poultry","EA/AM-H5N2",2015-06-04,"pending",31,51,6000,42.438517,-96.830002
"6","Idaho","Canyon","Pacific","Backyard","Mixed Poultry","EA/AM-H5N2",2015-01-16,"30",16,27,188923,43.611438,-116.627276
"7","California","Stanislaus","Pacific","Commercial","Turkeys","EA-H5N8",2015-01-23,"134,400",6,99,514453,37.619147,-120.955577
"8","Washington","Okanogan","Pacific","Backyard","Pheasant","EA/AM-H5N2",2015-01-29,"5,830",53,47,41120,48.446246,-119.578336
"9","Washington","Okanogan","Pacific","Backyard","Chicken","EA/AM-H5N2",2015-02-03,"40",53,47,41120,48.446246,-119.578336
"10","California","Kings","Pacific","Commercial","Chicken","EA-H5N8",2015-02-12,"112,900",6,31,152982,36.242749,-119.729084
"11","Oregon","Deschutes","Pacific","Backyard","Mixed Poultry","EA/AM-H5N2",2015-02-17,"70",41,17,157733,44.092071,-121.30565
"12","Minnesota","Pope","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-03-04,"44,000",27,121,10995,45.629871,-95.43713
"13","Missouri","Jasper","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-03-09,"30,100",29,97,117404,37.128993,-94.443436
"14","Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-01,"pending",19,161,10350,42.375805,-95.088801
"15","Missouri","Moniteau","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-03-10,"23,000",29,135,15607,38.628938,-92.616373
"16","Arkansas","Boone","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-03-11,"40,020",5,9,36903,36.267871,-93.099344
"17","Kansas","Leavenworth","Central","Backyard","Mixed Poultry","EA/AM-H5N2",2015-03-13,"10",20,103,76227,39.238518,-94.959302
"18","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-03-28,"39,000",27,145,150642,45.55783,-94.360801
"19","South Dakota","Beadle","Central","Commercial","Turkeys","EA/AM-H5N2",2015-04-01,"50,600",46,5,17398,44.368344,-98.226727
"20","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-04-02,"71,000",27,145,150642,45.55783,-94.360801
"21","Minnesota","Nobles","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-04-02,"21,000",27,105,21378,43.636327,-95.667405
"22","Montana","Judith Basin","Central","Backyard","Mixed Poultry","EA/AM-H5N2",2015-04-02,"40",30,45,2072,47.102395,-110.177445
"23","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-05-28,"pending",27,67,42239,45.15505,-95.016796
"24","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-05-28,"pending",27,67,42239,45.15505,-95.016796
"25","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-05-28,"pending",27,67,42239,45.15505,-95.016796
"26","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-04-04,"76,000",27,145,150642,45.55783,-94.360801
"27","Iowa","Webster","Mississippi","Commercial","Chickens","EA/AM-H5N2",2015-05-27,"pending",19,187,38013,42.480374,-94.179066
"28","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-04-04,"26,500",27,67,42239,45.15505,-95.016796
"29","Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-04-07,"310,000",27,93,23300,45.136368,-94.482983
"30","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-04-07,"30,000",27,67,42239,45.15505,-95.016796
"31","South Dakota","Kingsbury","Central","Commercial","Turkeys","EA/AM-H5N2",2015-04-08,"71,900",46,77,5148,44.374375,-97.405002
"32","Minnesota","Watonwan","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-04-09,"30,000",27,165,11211,43.993423,-94.583786
"33","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-04-09,"45,000",27,145,150642,45.55783,-94.360801
"34","Minnesota","Lyon","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-04-09,"66,000",27,83,25857,44.428427,-95.795395
"35","Iowa","Sioux","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2",2015-05-20,"pending",19,167,33704,43.079825,-96.16727
"36","Iowa","Sioux","Mississippi","Commercial","Chickens","EA/AM-H5N2",2015-05-20,"pending",19,167,33704,43.079825,-96.16727
"37","Minnesota","Cottonwood","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-04-09,"48,000",27,33,11687,43.94151,-95.119501
"38","Iowa","Sioux","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2",2015-05-19,"pending",19,167,33704,43.079825,-96.16727
