Country,StateCode,State,County,Flyway,Flock Type,Species,Avian Infuenza Subtype,Confirmation Date,Flock Size
United States,OR,Oregon,Douglas,Pacific,Backyard,Mixed Poultry,EA -H5N8,19-Dec-14,130
United States,WA,Washington,Benton,Pacific,Backyard,Mixed Poultry,EA/AM-H5N2,3-Jan-15,140
United States,WA,Washington,Benton,Pacific,Backyard,Mixed Poultry,EA/AM-H5N2,9-Jan-15,590
United States,WA,Washington,Clallam,Pacific,Backyard,Mixed Poultry,EA/AM-H5N2,16-Jan-15,110
United States,NE,Nebraska,Dixon,Central,Backyard,Mixed Poultry,EA/AM-H5N2,4-Jun-15,pending
United States,ID,Idaho,Canyon,Pacific,Backyard,Mixed Poultry,EA/AM-H5N2,16-Jan-15,30
United States,CA,California,Stanislaus,Pacific,Commercial,Turkeys,EA-H5N8,23-Jan-15,"134,400"
United States,WA,Washington,Okanogan,Pacific,Backyard,Pheasant,EA/AM-H5N2,29-Jan-15,"5,830"
United States,WA,Washington,Okanogan,Pacific,Backyard,Chicken,EA/AM-H5N2,3-Feb-15,40
United States,CA,California,Kings,Pacific,Commercial,Chicken,EA-H5N8,12-Feb-15,"112,900"
United States,OR,Oregon,Deschutes,Pacific,Backyard,Mixed Poultry,EA/AM-H5N2,17-Feb-15,70
United States,MN,Minnesota,Pope,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-Mar-15,"44,000"
United States,MO,Missouri,Jasper,Mississippi,Commercial,Turkeys,EA/AM-H5N2,9-Mar-15,"30,100"
United States,IA,Iowa,Sac,Mississippi,Commercial,Turkeys,EA/AM-H5N2,1-Jun-15,pending
United States,MO,Missouri,Moniteau,Mississippi,Commercial,Turkeys,EA/AM-H5N2,10-Mar-15,"23,000"
United States,AK,Arkansas,Boone,Mississippi,Commercial,Turkeys,EA/AM-H5N2,11-Mar-15,"40,020"
United States,KS,Kansas,Leavenworth,Central,Backyard,Mixed Poultry,EA/AM-H5N2,13-Mar-15,10
United States,MN,Minnesota,Lac Qui Parle,Mississippi,Commercial,Turkeys,EA/AM-H5N2,27-Mar-15,"66,000"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-Mar-15,"39,000"
United States,SD,South Dakota,Beadle,Central,Commercial,Turkeys,EA/AM-H5N2,1-Apr-15,"50,600"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,2-Apr-15,"71,000"
United States,MN,Minnesota,Nobles,Mississippi,Commercial,Turkeys,EA/AM-H5N2,2-Apr-15,"21,000"
United States,MT,Montana,Judith Basin,Central,Backyard,Mixed Poultry,EA/AM-H5N2,2-Apr-15,40
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-May-15,pending
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-May-15,pending
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-May-15,pending
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-Apr-15,"76,000"
United States,IA,Iowa,Webster,Mississippi,Commercial,Chickens,EA/AM-H5N2,27-May-15,pending
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-Apr-15,"26,500"
United States,MN,Minnesota,Meeker,Mississippi,Commercial,Turkeys,EA/AM-H5N2,7-Apr-15,"310,000"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,7-Apr-15,"30,000"
United States,SD,South Dakota,Kingsbury,Central,Commercial,Turkeys,EA/AM-H5N2,8-Apr-15,"71,900"
United States,MN,Minnesota,Watonwan,Mississippi,Commercial,Turkeys,EA/AM-H5N2,9-Apr-15,"30,000"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,9-Apr-15,"45,000"
United States,MN,Minnesota,Lyon,Mississippi,Commercial,Turkeys,EA/AM-H5N2,9-Apr-15,"66,000"
United States,IA,Iowa,Sioux,Mississippi,Backyard,Mixed Poultry,EA/AM-H5N2,20-May-15,pending
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,20-May-15,pending
United States,MN,Minnesota,Cottonwood,Mississippi,Commercial,Turkeys,EA/AM-H5N2,9-Apr-15,"48,000"
United States,IA,Iowa,Sioux,Mississippi,Backyard,Mixed Poultry,EA/AM-H5N2,19-May-15,pending
United States,SD,South Dakota,McPherson,Central,Commercial,Turkeys,EA/AM-H5N2,10-Apr-15,"55,200"
United States,SD,South Dakota,McCook,Central,Commercial,Turkeys,EA/AM-H5N2,10-Apr-15,"54,700"
United States,ND,North Dakota,Dickey,Central,Commercial,Turkeys,EA/AM-H5N2,10-Apr-15,"40,000"
United States,MN,Minnesota,Le Sueur,Mississippi,Commercial,Turkeys,EA/AM-H5N2,11-Apr-15,"21,500"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,11-Apr-15,"38,000"
United States,WI,Wisconsin,Jefferson,Mississippi,Commercial,Chickens,EA/AM-H5N2,11-Apr-15,"189,100"
United States,MN,Minnesota,Swift,Mississippi,Commercial,Turkeys,EA/AM-H5N2,13-Apr-15,"160,000"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,13-Apr-15,"76,000"
United States,MN,Minnesota,Swift,Mississippi,Commercial,Turkeys,EA/AM-H5N2,14-Apr-15,"154,000"
United States,MN,Minnesota,Redwood,Mississippi,Commercial,Turkeys,EA/AM-H5N2,14-Apr-15,"56,000"
United States,MN,Minnesota,Meeker,Mississippi,Commercial,Turkeys,EA/AM-H5N2,14-Apr-15,"20,000"
United States,MN,Minnesota,Meeker,Mississippi,Commercial,Turkeys,EA/AM-H5N2,14-Apr-15,"25,000"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,14-Apr-15,"30,000"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,15-Apr-15,"67,000"
United States,SD,South Dakota,Roberts,Mississippi,Commercial,Turkeys,EA/AM-H5N2,15-Apr-15,"66,600"
United States,MN,Minnesota,Otter Tail,Mississippi,Commercial,Turkeys,EA/AM-H5N2,15-Apr-15,"21,000"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,15-Apr-15,"152,000"
United States,MN,Minnesota,Roseau,Mississippi,Commercial,Turkeys,EA/AM-H5N2,16-Apr-15,"26,000"
United States,IA,Iowa,Osceola,Mississippi,Backyard,Mixed Poultry,EA/AM-H5N2,12-May-15,pending
United States,WI,Wisconsin,Barron,Mississippi,Commercial,Turkeys,EA/AM-H5N2,16-Apr-15,"126,700"
