County,StateCode,lat,long
Douglas,OR,,
Benton,WA,,
Benton,WA,,
Clallam,WA,,
Dixon,NE,,
Canyon,ID,,
Stanislaus,CA,,
Okanogan,WA,,
Okanogan,WA,,
Kings,CA,,
Deschutes,OR,,
Pope,MN,,
Jasper,MO,,
Sac,IA,,
Moniteau,MO,,
Boone,AK,,
Leavenworth,KS,,
Lac Qui Parle,MN,,
Stearns,MN,,
Beadle,SD,,
Stearns,MN,,
Nobles,MN,,
Judith Basin,MT,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Stearns,MN,,
Webster,IA,,
Kandiyohi,MN,,
Meeker,MN,,
Kandiyohi,MN,,
Kingsbury,SD,,
Watonwan,MN,,
Stearns,MN,,
Lyon,MN,,
Sioux,IA,,
Sioux,IA,,
Cottonwood,MN,,
Sioux,IA,,
McPherson,SD,,
McCook,SD,,
Dickey,ND,,
Le Sueur,MN,,
Kandiyohi,MN,,
Jefferson,WI,,
Swift,MN,,
Stearns,MN,,
Swift,MN,,
Redwood,MN,,
Meeker,MN,,
Meeker,MN,,
Kandiyohi,MN,,
Stearns,MN,,
Roberts,SD,,
Otter Tail,MN,,
Kandiyohi,MN,,
Roseau,MN,,
Osceola,IA,,
Barron,WI,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Juneau,WI,,
Wadena,MN,,
Spink,SD,,
Osceola,IA,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Whitley,IN,,
Cottonwood,MN,,
Stearns,MN,,
Meeker,MN,,
Meeker,MN,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Stearns,MN,,
Stearns,MN,,
Pipestone,MN,,
Otter Tail,MN,,
Meeker,MN,,
Kandiyohi,MN,,
O'Brien,IA,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Clay,MN,,
Chippewa,WI,,
Sac,IA,,
Lewis,MO,,
LaMoure,ND,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Jefferson,WI,,
Chippewa,MN,,
Stearns,MN,,
Sioux,IA,,
Barron,WI,,
Swift,MN,,
Steele,MN,,
Stearns,MN,,
Kandiyohi,MN,,
Sioux,IA,,
Osceola,IA,,
O'Brien,IA,,
O'Brien,IA,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Stearns,MN,,
Buena Vista,IA,,
Buena Vista,IA,,
Kandiyohi,MN,,
Buena Vista,IA,,
Buena Vista,IA,,
Barron,WI,,
Stearns,MN,,
Stearns,MN,,
Sioux,IA,,
Pocahontas,IA,,
Otter Tail,MN,,
Kossuth,IA,,
Clay,IA,,
Buena Vista,IA,,
Buena Vista,IA,,
Swift,MN,,
Sac,IA,,
Renville,MN,,
Meeker,MN,,
Madison,IA,,
Kandiyohi,MN,,
Cherokee,IA,,
Wright,IA,,
Swift,MN,,
Sioux-5-5-15,IA,,
Pipestone,MN,,
Nicollet,MN,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Kandiyohi,MN,,
Cherokee,IA,,
Barron,WI,,
Barron,WI,,
Kandiyohi,MN,,
Jefferson,WI,,
Sioux,IA,,
Sioux,IA,,
Sioux,IA,,
Osceola,IA,,
Buena Vista,IA,,
Buena Vista,IA,,
Buena Vista,IA,,
Wright,IA,,
Sioux,IA,,
Sioux,IA,,
Sioux,IA,,
Pocahontas,IA,,
Cherokee,IA,,
Swift,MN,,
Redwood,MN,,
Sac,IA,,
Palo Alto,IA,,
Kandiyohi,MN,,
Cherokee,IA,,
Buena Vista,IA,,
Buena Vista,IA,,
Buena Vista,IA,,
Wright,IA,,
Swift,MN,,
Dixon,NE,,
Yankton,SD,,
Hutchinson,SD,,
Cherokee,IA,,
Buena Vista,IA,,
Lyon,IA,,
Sioux,IA,,
Sioux,IA,,
Plymouth,IA,,
Dixon,NE,,
Buena Vista,IA,,
Moody,SD,,
Meeker,MN,,
Sac,IA,,
Renville,MN,,
Kandiyohi,MN,,
Sac,IA,,
Sioux,IA,,
Sac,IA,,
Calhoun,IA,,
Pocahontas,IA,,
Dixon,NE,,
Renville,MN,,
Brown,MN,,
Adair,IA,,
Wright,IA,,
Renville,MN,,
Kandiyohi,MN,,
Renville,MN,,
Meeker,MN,,
Hamilton,IA,,
Brown,MN,,
Wright,IA,,
Renville,MN,,
Moody,SD,,
Brown,MN,,
Calhoun,IA,,
Blue Earth,MN,,
Kandiyohi,MN,,
Hamilton,IA,,
Hamilton,IA,,
Clay,IA,,
Brown,MN,,
Sac,IA,,
Renville,MN,,
Renville,MN,,
Hamilton,IA,,
